CLUESmallArea,BlockId,Usage,SumFloors2002,BuildingCount2002,SumFloors2021,BuildingCount2021,MostFloors2002,MostFloors2021
Parkville,270,Unoccupied - Unused,0,0,0,0
Parkville,270,Parking - Commercial Covered,0,0,0,0
Parkville,923,House/Townhouse,55.0,28,59.0,30,2,2
Parkville,923,Residential Apartment,4.0,2,2.0,1,2,2
Parkville,923,"Performances, Conferences, Ceremonies",0.0,0,0.0,0,0,0
Parkville,923,Unoccupied - Unused,1.0,1,0.0,0,1,0
Parkville,923,Office,0,0,0,0
Parkville,923,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,923,Parking - Commercial Covered,0,0,0,0
Parkville,901,House/Townhouse,28.0,14,28.0,14,2,2
Parkville,901,Residential Apartment,10.0,2,10.0,2,8,8
Parkville,901,Equipment Installation,0.0,0,1.0,1,0,1
Parkville,901,Office,0,0,0,0
Parkville,901,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,901,Unoccupied - Unused,0,0,0,0
Parkville,901,Parking - Commercial Covered,0,0,0,0
Parkville,905,Residential Apartment,9.0,4,11.0,5,3,3
Parkville,905,House/Townhouse,6.0,3,6.0,3,2,2
Parkville,905,Educational/Research,0.0,0,3.0,1,0,3
Parkville,905,Office,0.0,0,4.0,1,0,4
Parkville,905,Commercial Accommodation,3.0,1,0.0,0,3,0
Parkville,905,Student Accommodation,0.0,0,0.0,0,0,0
Parkville,905,Parking - Private Covered,2.0,1,0.0,0,2,0
Parkville,905,Institutional Accommodation,3.0,1,0.0,0,3,0
Parkville,905,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,905,Unoccupied - Unused,0,0,0,0
Parkville,905,Parking - Commercial Covered,0,0,0,0
Parkville,924,House/Townhouse,11.0,9,15.0,9,2,3
Parkville,924,Residential Apartment,9.0,4,9.0,4,3,3
Parkville,924,Office,0,0,0,0
Parkville,924,Entertainment/Recreation - Indoor,0,0,0,0
Parkville,924,Unoccupied - Unused,0,0,0,0
Parkville,924,Parking - Commercial Covered,0,0,0,0
Parkville,904,Office,2.0,1,2.0,1,2,2
Parkville,904,Residential Apartment,8.0,2,8.0,2,5,5
Parkville,904,Commercial Accommodation,4.0,1,4.0,1,4,4
Parkville,904,House/Townhouse,1.0,1,1.0,1,1,1
